iter	Passed	Remaining
0	8	8876
1	16	8260
2	24	8067
3	44	11077
4	51	10269
5	59	9883
6	66	9491
7	75	9372
8	83	9171
9	90	8986
10	97	8808
11	105	8657
12	112	8531
13	120	8457
14	128	8426
15	136	8409
16	144	8373
17	152	8327
18	161	8330
19	169	8318
20	180	8391
21	189	8403
22	197	8390
23	206	8384
24	214	8350
25	222	8319
26	229	8286
27	237	8244
28	246	8246
29	255	8269
30	265	8286
31	273	8278
32	281	8262
33	290	8247
34	297	8214
35	305	8192
36	314	8190
37	322	8165
38	330	8136
39	338	8118
40	347	8116
41	355	8105
42	362	8077
43	370	8054
44	378	8037
45	386	8018
46	394	8002
47	402	7976
48	410	7957
49	417	7925
50	424	7905
51	432	7880
52	440	7869
53	448	7850
54	456	7845
55	464	7829
56	472	7822
57	480	7799
58	487	7778
59	495	7757
60	502	7741
61	510	7718
62	517	7703
63	524	7677
64	532	7658
65	540	7645
66	547	7620
67	554	7599
68	561	7575
69	568	7553
70	575	7532
71	582	7512
72	590	7498
73	597	7478
74	608	7501
75	615	7487
76	623	7468
77	629	7445
78	637	7429
79	643	7405
80	651	7386
81	657	7362
82	665	7348
83	671	7326
84	679	7310
85	686	7294
86	693	7274
87	701	7266
88	708	7251
89	715	7234
90	722	7218
91	729	7200
92	736	7184
93	744	7173
94	751	7161
95	758	7144
96	766	7132
97	773	7119
98	781	7109
99	788	7096
100	795	7081
101	803	7076
102	810	7060
103	818	7048
104	824	7031
105	833	7032
106	851	7107
107	858	7093
108	866	7080
109	873	7063
110	880	7051
111	887	7038
112	894	7024
113	902	7010
114	908	6995
115	916	6980
116	922	6964
117	929	6948
118	936	6930
119	942	6914
120	949	6898
121	957	6893
122	965	6885
123	973	6874
124	980	6861
125	987	6849
126	994	6836
127	1001	6823
128	1008	6812
129	1016	6802
130	1023	6789
131	1030	6779
132	1038	6767
133	1045	6757
134	1052	6743
135	1059	6729
136	1066	6715
137	1072	6700
138	1080	6691
139	1087	6678
140	1095	6672
141	1102	6660
142	1109	6651
143	1117	6641
144	1124	6630
145	1131	6618
146	1138	6606
147	1145	6595
148	1152	6582
149	1159	6569
150	1166	6556
151	1173	6546
152	1181	6538
153	1188	6530
154	1196	6524
155	1204	6517
156	1212	6508
157	1219	6497
158	1226	6487
159	1233	6476
160	1240	6466
161	1249	6461
162	1257	6456
163	1266	6455
164	1274	6448
165	1283	6447
166	1290	6439
167	1298	6428
168	1305	6420
169	1312	6410
170	1320	6399
171	1327	6391
172	1334	6380
173	1342	6371
174	1350	6365
175	1358	6361
176	1366	6352
177	1373	6344
178	1382	6339
179	1389	6327
180	1395	6316
181	1402	6305
182	1409	6294
183	1416	6284
184	1423	6272
185	1431	6264
186	1439	6257
187	1446	6246
188	1454	6239
189	1461	6230
190	1468	6219
191	1475	6211
192	1483	6201
193	1490	6191
194	1497	6181
195	1504	6170
196	1511	6161
197	1519	6153
198	1526	6143
199	1533	6134
200	1540	6125
201	1548	6115
202	1556	6110
203	1563	6101
204	1571	6094
205	1579	6086
206	1586	6079
207	1593	6068
208	1602	6063
209	1609	6053
210	1616	6043
211	1623	6035
212	1630	6025
213	1638	6017
214	1646	6011
215	1653	6002
216	1661	5994
217	1668	5985
218	1675	5976
219	1682	5966
220	1690	5958
221	1697	5948
222	1704	5938
223	1711	5928
224	1718	5919
225	1725	5910
226	1733	5902
227	1741	5895
228	1748	5886
229	1771	5930
230	1778	5921
231	1786	5913
232	1793	5902
233	1800	5895
234	1808	5886
235	1815	5877
236	1822	5868
237	1829	5858
238	1836	5847
239	1843	5839
240	1852	5834
241	1860	5826
242	1867	5817
243	1874	5808
244	1882	5799
245	1889	5790
246	1896	5782
247	1904	5774
248	1911	5766
249	1919	5758
250	1927	5751
251	1934	5740
252	1942	5734
253	1949	5724
254	1956	5715
255	1962	5704
256	1970	5695
257	1977	5685
258	1984	5677
259	1991	5669
260	2000	5662
261	2007	5656
262	2015	5648
263	2022	5639
264	2029	5630
265	2036	5620
266	2043	5610
267	2051	5602
268	2058	5593
269	2065	5584
270	2072	5574
271	2079	5566
272	2086	5556
273	2093	5545
274	2099	5536
275	2107	5527
276	2114	5518
277	2120	5508
278	2128	5499
279	2135	5491
280	2142	5481
281	2149	5472
282	2156	5464
283	2164	5456
284	2172	5449
285	2180	5442
286	2187	5433
287	2193	5423
288	2201	5416
289	2208	5406
290	2215	5398
291	2222	5388
292	2229	5379
293	2236	5369
294	2244	5363
295	2251	5355
296	2259	5347
297	2266	5340
298	2274	5333
299	2282	5326
300	2291	5320
301	2299	5313
302	2307	5308
303	2317	5305
304	2324	5297
305	2333	5292
306	2341	5285
307	2354	5290
308	2362	5282
309	2370	5275
310	2378	5269
311	2385	5260
312	2393	5253
313	2400	5244
314	2407	5235
315	2415	5227
316	2423	5221
317	2430	5211
318	2437	5203
319	2445	5197
320	2453	5190
321	2462	5184
322	2469	5175
323	2477	5168
324	2484	5160
325	2492	5152
326	2499	5143
327	2506	5135
328	2513	5125
329	2520	5116
330	2527	5108
331	2534	5100
332	2542	5091
333	2549	5082
334	2556	5074
335	2564	5067
336	2572	5060
337	2579	5051
338	2586	5042
339	2593	5035
340	2601	5027
341	2609	5020
342	2617	5013
343	2625	5007
344	2633	4999
345	2641	4992
346	2648	4984
347	2656	4977
348	2663	4968
349	2671	4960
350	2678	4952
351	2686	4945
352	2694	4937
353	2701	4929
354	2709	4922
355	2717	4916
356	2725	4909
357	2733	4901
358	2740	4892
359	2747	4885
360	2754	4875
361	2761	4866
362	2767	4857
363	2774	4848
364	2782	4840
365	2789	4832
366	2796	4823
367	2804	4816
368	2812	4809
369	2820	4802
370	2827	4794
371	2835	4787
372	2843	4779
373	2849	4769
374	2858	4763
375	2871	4765
376	2878	4757
377	2887	4751
378	2894	4742
379	2902	4735
380	2909	4727
381	2917	4719
382	2924	4711
383	2931	4702
384	2939	4694
385	2946	4687
386	2954	4680
387	2962	4673
388	2970	4665
389	2978	4658
390	2986	4652
391	2995	4645
392	3003	4638
393	3011	4631
394	3018	4623
395	3025	4614
396	3032	4606
397	3040	4599
398	3048	4592
399	3057	4585
400	3064	4577
401	3073	4571
402	3081	4564
403	3089	4557
404	3097	4550
405	3106	4544
406	3114	4538
407	3122	4531
408	3130	4524
409	3138	4516
410	3146	4509
411	3154	4501
412	3161	4493
